101   -8 1 0 0 0     4.04305     4.20469
101  -19 1 1 0 0     3.93183     4.81218
101  -22 1 2 0 0     4.33073     4.96284
101  -23 1 3 0 0     4.36945     4.96284
103  -18 1 0 1 0     2.77259     5.23644
103   -9 1 1 1 0     3.46574     5.20949
103  -18 1 2 1 0     3.52636     5.34233
103  -20 1 3 1 0     3.58352     5.36129
104  -11 1 0 1 1     5.34233     4.75359
104  -16 1 1 1 1     5.74620     5.05625
104  -10 1 2 1 1     5.56452     5.08140
104  -29 1 3 1 1     5.45104     4.63473
105   -6 1 0 1 0     3.09104     4.35671
105   -6 1 1 1 0     3.33220     4.44265
105   -9 1 2 1 0     2.94444     4.17439
105  -13 1 3 1 0     3.29584     4.56435
106    2 1 0 0 1     4.29046      .00000
106   -3 1 1 0 1     4.77912     2.89037
106   -1 1 2 0 1     4.54329     3.13549
107   -5 1 0 0 1     3.63759     4.31749
107   -2 1 1 0 1     3.66356     4.40672
107  -15 1 3 0 1     3.63759     4.70048
108  -10 1 0 0 1     4.17439     5.34233
108  -12 1 1 0 1     4.39445     5.59471
108  -12 1 2 0 1     4.07754     5.68017
108  -14 1 3 0 1     3.82864     5.34233
113   -2 1 0 1 0     4.89035     3.25810
113    2 1 1 1 0     5.25227     3.89182
113    2 1 2 1 0     5.30330     4.11087
114   -6 1 0 1 0     4.29046     5.67332
114   -4 1 1 1 0     4.36945     5.88332
114  -10 1 2 1 0     4.53260     5.99396
114  -10 1 3 1 0     4.51086     5.74620
115    0 1 0 0 1     3.25810     2.83321
115    0 1 1 0 1     3.66356     2.77259
115    0 1 2 0 1     3.66356     3.43399
115   -5 1 3 0 1     3.71357     4.00733
117   -6 1 0 1 1     4.62497     4.44265
117   -7 1 1 1 1     4.72739     4.72739
117  -12 1 2 1 1     4.78749     5.14749
117  -13 1 3 1 1     4.76217     5.30330
118   -8 1 0 1 1     3.85015     4.35671
118   -8 1 1 1 1     3.91202     4.62497
118  -12 1 2 1 1     4.06044     4.69135
118  -15 1 3 1 1     3.89182     4.52179
120   -3 1 0 1 0     3.55535     3.33220
120   -2 1 1 1 0     3.61092     3.17805
120   -4 1 2 1 0     4.07754     3.85015
120   -3 1 3 1 0     4.02535     4.02535
121   -1 1 0 1 0     4.15888     5.19850
121   -1 1 1 1 0     3.73767     4.70048
121   -8 1 2 1 0     4.00733     5.30330
121   -6 1 3 1 0     4.24850     5.63835
123   -2 1 1 1 0     4.70953     4.55388
123  -10 1 2 1 0     4.70953     4.55388
123  -10 1 3 1 0     4.70953     4.55388
501   -3 1 0 1 1     3.97029     4.88280
501   -7 1 1 1 1     4.18965     5.45532
501  -10 1 2 1 1     3.97029     4.98361
501   -5 1 3 1 1     3.80666     4.80402
502   -8 1 0 1 1     4.21951     6.29342
502  -10 1 1 1 1     4.09434     6.60800
502  -19 1 2 1 1     4.00733     6.55251
502  -20 1 3 1 1     4.00733     6.37332
504   -4 1 0 0 0     4.95583     3.97029
504   -3 1 1 0 0     4.99043     4.15888
504   -7 1 2 0 0     4.85981     3.93183
504   -7 1 3 0 0     4.92725     4.07754
505   -3 1 0 0 0     3.52636     4.06044
505  -21 1 1 0 0     3.52636     3.97029
